,country,x0,start,end,kappa,alpha,beta,error
0,128,0.5300344886036732,1961,2013,0.07118607061588117,-0.9999999299016364,-0.5978886359237836,0.04889926068657042
0,129,0.1548531611273848,1961,2013,0.08447156472572126,-0.3629309697637231,-0.9999959865346528,0.008649652682271462
0,20,0.050157778465351854,1961,2013,0.16717582129593794,-0.3856959011623289,-0.999999106204424,0.07366578899161752
0,191,0.4471645535449793,1981,2013,0.9999992488582828,-0.9255834085811564,-0.13621183201317566,0.050194471216160864
0,98,0.4044520718645807,1992,2013,0.010169847537027822,-0.4836778491669544,-0.995903443717655,0.023762504439813016
0,216,0.6395018325389451,1961,2013,0.010002167519450895,-0.6287762636331041,-0.9999998145482969,0.022712735725413602
0,144,0.002952230120513599,1981,2013,0.9999800772238268,-0.27746694568973873,-0.9999942778334548,0.11974979282128866
0,113,0.10593087076738884,1992,2013,0.020822753464940263,0.9743747104939984,-0.1928792405112948,0.013428718805489095
0,105,0.4055581161404563,1961,2013,0.3547598541602506,-0.852582692066178,-0.4454774185592365,0.03755520198893266
0,133,0.009320746617708429,1987,2013,0.43547824397191226,-0.2099909817917227,-0.9993930480887252,0.021219157579731262
0,41,0.4534142493767458,1993,2013,0.999999999850051,-0.9999999998962498,0.0070960250287683815,0.023306942027616427
0,236,0.3547463642888127,1961,2013,0.023513488806043398,-0.9940791896349273,-0.9956999027484532,0.01735376264087317
0,16,0.8229664236461999,1961,2013,0.0987390355653398,-0.6610775918210966,-0.999999999332196,0.0315557764456722
0,220,0.3794438470050716,1961,2013,0.20985747855111472,-0.8698951234987637,-0.1818161255867763,0.036555416627431316
0,109,0.5098346769487261,1961,2013,0.4443036879651961,-0.8598011081187609,-0.11831624557076705,0.041140402784402036
0,57,0.40805316031258143,1992,2013,0.7216078178738605,-0.9999999377656772,-0.073247316857036,0.02397605160920031
0,155,0.34360750445957944,1961,2013,0.05760549089563938,-0.44474999266453663,-0.999999032603654,0.037924994502990216
0,102,0.405959071179716,1961,2013,0.2283273177431237,-0.883040705587412,0.005470886789484375,0.026607348769025856
0,114,0.2898104014330809,1961,2013,0.013326874009108772,0.5414566751768229,-0.999791822981945,0.02162827415900868
0,143,0.445819828230975,1961,2013,0.2468509157558756,-0.8017884104643271,-0.32950068635202445,0.026868092019479102
0,211,0.2461806485666751,1961,2013,0.2486298726827404,-0.894543362918687,-0.06880384747234912,0.00952250744941586
0,138,0.4006971812924267,1961,2013,0.04841319675231513,-0.9999999873655142,-0.1957105350478696,0.017687586612502457
0,66,0.30178425879548176,1961,2013,0.2524967163291797,-0.9999999788560934,0.2348369679694653,0.03221292573556316
0,89,0.5432766363215993,1961,2013,0.0287885034248664,-0.6576446088528479,-0.9999983113203182,0.034835108798265235
0,70,0.2106752847080552,1992,2013,0.9999999975378062,-0.9999995678796796,0.017024790512662147,0.011246104168174351
0,27,0.5041504093606411,1961,2013,0.3815128562278032,-0.9300669102844112,0.09954138234825782,0.033817664821058684
0,207,0.2275216052123128,1961,2013,0.01044580843988918,0.6083405840867293,-0.999690299824756,0.06494113897599857
0,159,0.44920987044370586,1961,2013,0.01000332616645448,-0.842473888428301,-0.9999910564096134,0.03040076713285105
0,50,0.3602422810031109,1961,2013,0.16228626901353976,-0.9156525345334959,0.5718774234010937,0.07819417413544104
0,118,0.5585200727611491,1991,2013,0.9999996331830684,-0.9999999889964892,-0.4984616199850784,0.14550488306618653
0,231,0.211845348804387,1961,2013,0.0894654305354492,-0.8902442414379809,-0.06436039284765471,0.0052774279469795715
0,11,0.337946416884079,1961,2013,0.2743356443411656,-0.8958304719974125,-0.1327916351191012,0.009794623159739144
0,46,0.3837799433651217,1990,2013,0.10452036713731333,0.9998048512130968,-0.9998839689408296,0.16395266385890314
0,7,0.28902680609122977,1985,2013,0.029068809115258627,-0.5678831696853969,0.9452149498736788,0.02068724216184397
0,175,0.46995311530814604,1961,2013,0.03268277985221705,-0.9999999976088956,-0.9999983338756812,0.018945453283145508
0,93,0.7332614449664759,1961,2013,0.33326570290422025,-0.7869634965874551,-0.34388801193250673,0.02584367247799176
0,122,0.22178486527882055,1961,2013,0.010053947482034442,0.6746538411195222,-0.2453717794657009,0.04139956680506345
0,123,0.9999998022110104,1961,2013,0.01,-1.0,-1.0,1.3090796058522804e+57
0,174,0.6575475256074197,1961,2013,0.14710265783505905,-0.9999999990412308,-0.44658748599917175,0.06211441609749435
0,84,0.34045313631452856,1961,2013,0.5681285595468518,-0.8554609539340764,-0.22997447598777776,0.05734049045987623
0,162,0.4573244678699999,1961,2013,0.08785578372580277,-0.9488150101233848,-0.3584747374263564,0.09321904302226164
