,scenario,f,year,type,land,xi
178,SSP2,0.4,2042,projections,3953113634.2236996,0.46424442104576574
179,SSP2,0.6,2042,projections,4106399036.0624485,0.48538122365743375
180,SSP2,0.8,2042,projections,4344173229.706954,0.5119258276091945
181,SSP2,0.2,2043,projections,3831190360.8438363,0.4481456917824558
182,SSP2,0.4,2043,projections,3954518990.2025986,0.4659446817873961
183,SSP2,0.6,2043,projections,4112180970.107897,0.4876844605093644
184,SSP2,0.8,2043,projections,4355346973.004319,0.5141223374412832
185,SSP2,0.2,2044,projections,3826955819.080337,0.44868388483834104
186,SSP2,0.4,2044,projections,3957013833.4946227,0.46750581539619673
187,SSP2,0.6,2044,projections,4118844012.3995767,0.48974088944244737
188,SSP2,0.8,2044,projections,4367143991.676177,0.5159879295959089
189,SSP2,0.2,2045,projections,3818468513.493171,0.44909386140352564
190,SSP2,0.4,2045,projections,3959255213.3438616,0.46893099255999987
191,SSP2,0.6,2045,projections,4126369897.6056333,0.4915673178872193
192,SSP2,0.8,2045,projections,4379277820.545111,0.5175628296423208
193,SSP2,0.2,2046,projections,3807349626.0453753,0.44930497673718844
194,SSP2,0.4,2046,projections,3962549105.447217,0.4702263156366961
195,SSP2,0.6,2046,projections,4134521285.3929152,0.4931791967940049
196,SSP2,0.8,2046,projections,4391475245.508246,0.5188825735218188
197,SSP2,0.2,2047,projections,3795227878.904685,0.4493327006363034
198,SSP2,0.4,2047,projections,3965625908.529764,0.4713994573519273
199,SSP2,0.6,2047,projections,4143331436.0792894,0.4945930583335465
200,SSP2,0.8,2047,projections,4403474496.318546,0.5199807629924692
201,SSP2,0.2,2048,projections,3777209644.401657,0.4491241692334337
202,SSP2,0.4,2048,projections,3969426792.660617,0.47245468477003427
203,SSP2,0.6,2048,projections,4152696127.7070317,0.4958255724288148
204,SSP2,0.8,2048,projections,4415585980.025596,0.520888354439563
205,SSP2,0.2,2049,projections,3760234936.047823,0.4486751294156612
206,SSP2,0.4,2049,projections,3966805596.9436193,0.4733724840922636
207,SSP2,0.6,2049,projections,4161186606.93636,0.496888406672219
208,SSP2,0.8,2049,projections,4427736652.062895,0.5216335846297678
209,SSP2,0.2,2050,projections,3744485725.5915594,0.4480144993495728
210,SSP2,0.4,2050,projections,3964473740.05066,0.47412996851959344
211,SSP2,0.6,2050,projections,4170411853.181112,0.4977948221874861
212,SSP2,0.8,2050,projections,4440256853.519809,0.52224211312275
213,SSP2,0.2,2051,projections,3729650938.5490007,0.4471672742445278
214,SSP2,0.4,2051,projections,3962214224.6894116,0.4747418244642549
215,SSP2,0.6,2051,projections,4179363516.995605,0.49856134873131924
216,SSP2,0.8,2051,projections,4452637705.842934,0.522735616344939
217,SSP2,0.2,2052,projections,3715679862.1164093,0.4461532230775426
218,SSP2,0.4,2052,projections,3957552692.153148,0.47521617806906863
219,SSP2,0.6,2052,projections,4182879204.120752,0.49918166151903715
220,SSP2,0.8,2052,projections,4464840350.498629,0.5231304313517415
221,SSP2,0.2,2053,projections,3702538091.4949408,0.44498960681095434
222,SSP2,0.4,2053,projections,3949828331.6696568,0.47552877783756614
223,SSP2,0.6,2053,projections,4186613332.7445445,0.4996585531041685
224,SSP2,0.8,2053,projections,4476847819.985196,0.5234401243970268
225,SSP2,0.2,2054,projections,3690097367.899029,0.44369220147647803
226,SSP2,0.4,2054,projections,3942771359.138814,0.4756908801668375
227,SSP2,0.6,2054,projections,4190429152.139515,0.5000078649344701
228,SSP2,0.8,2054,projections,4488655246.479373,0.5236762502696046
229,SSP2,0.2,2055,projections,3677843486.899774,0.4422701428526627
230,SSP2,0.4,2055,projections,3936021081.7852116,0.4757191098230146
