Unnamed: 0,kappa(% change),beta(% change),alpha(% change),peak land(billion hectares),f,scenario,peak year
0,0,-80,-50,5.504829179517967,0.2,SSP2,2024.0
0,0,-80,-40,5.425964493523361,0.2,SSP2,2024.0
0,80,0,-10,4.1991376146077775,0.2,SSP2,2020.0
0,30,-70,0,5.7598573227585765,0.8,SSP2,2086.0
0,0,30,100,3.3295870128626355,0.8,SSP2,2012.0
0,80,-50,0,5.622366810980249,0.8,SSP2,2078.0
0,0,-10,-70,5.084852390571818,0.2,SSP2,2029.0
0,-50,0,-70,5.750194268881812,0.8,SSP2,2060.0
0,0,-70,20,5.663545659710622,0.8,SSP2,2086.0
0,50,0,-50,5.496540754158904,0.8,SSP2,2055.0
0,50,0,80,3.8371217085282248,0.8,SSP2,2068.0
0,0,0,80,3.7572952061717015,0.8,SSP2,2079.0
0,0,-70,30,5.58482374247103,0.8,SSP2,2085.0
0,0,-10,-60,4.992356370727584,0.2,SSP2,2029.0
0,0,80,30,3.3295870128626355,0.8,SSP2,2012.0
0,-70,0,-90,4.482902401906367,0.2,SSP2,2039.0
0,0,40,-70,4.531541400659291,0.2,SSP2,2028.0
0,20,0,-90,5.250935219702725,0.2,SSP2,2026.0
0,-100,0,80,4.131317331288343,0.8,SSP2,2081.0
0,0,10,70,3.3295870128626355,0.2,SSP2,2012.0
0,20,-90,0,4.6234977041965335,0.2,SSP2,2020.0
0,-70,-90,0,4.356887007904175,0.2,SSP2,2048.0
0,0,-100,0,4.648771702034953,0.2,SSP2,2021.0
0,50,0,40,4.1434283124171785,0.8,SSP2,2075.0
0,0,0,40,4.122106149570182,0.8,SSP2,2070.0
0,0,70,40,3.3295870128626355,0.2,SSP2,2012.0
0,20,0,-50,4.844722898132833,0.2,SSP2,2029.0
0,-70,0,-50,4.199588318856243,0.2,SSP2,2044.0
0,50,0,-90,6.1552466207270475,0.8,SSP2,2060.0
0,-50,20,0,3.5813552197597014,0.2,SSP2,2046.0
0,0,-30,-40,5.615536157603465,0.8,SSP2,2037.0
0,-40,30,0,3.9301871166107234,0.8,SSP2,2052.0
0,0,-30,-50,6.004908771248495,0.8,SSP2,2052.0
0,-10,-70,0,4.514878853614049,0.2,SSP2,2026.0
0,40,-70,0,4.550876463023356,0.2,SSP2,2021.0
0,-90,0,30,3.9516964185171117,0.8,SSP2,2079.0
0,0,-30,0,5.187715857880258,0.8,SSP2,2071.0
0,0,90,90,3.3295870128626355,0.2,SSP2,2012.0
0,-10,0,60,3.954853008596383,0.8,SSP2,2076.0
0,0,20,-40,4.430388676577096,0.2,SSP2,2028.0
0,-70,-20,0,4.755663055153131,0.8,SSP2,2087.0
0,-30,40,0,3.779563913600288,0.8,SSP2,2056.0
0,0,0,-100,6.253296317082125,0.8,SSP2,2064.0
0,100,0,60,4.005975781386295,0.8,SSP2,2073.0
0,-20,50,0,3.430104998743411,0.2,SSP2,2025.0
0,50,-90,0,5.898272304075532,0.8,SSP2,2089.0
0,-100,0,40,4.131317331288343,0.8,SSP2,2081.0
0,0,60,-30,3.820667001218502,0.2,SSP2,2020.0
0,20,-20,0,4.954553061534428,0.8,SSP2,2067.0
0,-60,0,20,4.215890408404077,0.8,SSP2,2077.0
0,-70,10,0,4.263297170029103,0.8,SSP2,2064.0
0,0,100,40,3.3295870128626355,0.2,SSP2,2012.0
0,70,0,-70,5.1645249288302955,0.2,SSP2,2024.0
0,-80,0,-100,5.80467657999511,0.8,SSP2,2076.0
0,-20,0,-70,4.866763363880931,0.2,SSP2,2035.0
0,0,30,30,3.3295870128626355,0.2,SSP2,2012.0
0,0,100,50,3.3295870128626355,0.2,SSP2,2012.0
0,0,80,100,3.3295870128626355,0.2,SSP2,2012.0
0,-10,70,0,3.3513955168481746,0.2,SSP2,2022.0
0,0,-50,10,4.281877533497067,0.2,SSP2,2027.0
0,100,70,0,3.41061142350882,0.2,SSP2,2016.0
0,-50,-100,0,4.561795007810841,0.2,SSP2,2031.0
0,40,0,-100,5.3808574739735375,0.2,SSP2,2023.0
0,-60,0,-100,4.710905492641879,0.2,SSP2,2039.0
0,70,-100,0,4.675629893118916,0.2,SSP2,2017.0
0,10,0,-40,5.2899606790498765,0.8,SSP2,2052.0
0,-10,0,-60,5.634901734189646,0.8,SSP2,2060.0
0,100,-100,0,5.967494549332491,0.8,SSP2,2080.0
0,-30,0,-80,4.9008320163081205,0.2,SSP2,2036.0
0,60,0,-80,5.253124239376041,0.2,SSP2,2024.0
0,0,30,-50,4.419028342701736,0.2,SSP2,2029.0
0,0,80,80,3.3295870128626355,0.2,SSP2,2012.0
0,60,-60,0,5.7065150749136375,0.8,SSP2,2087.0
0,-20,0,10,4.437596737432658,0.8,SSP2,2075.0
0,0,-30,-80,5.3381635200827935,0.2,SSP2,2030.0
0,0,-30,-90,5.422552671681063,0.2,SSP2,2029.0
0,10,80,0,3.3776022909211862,0.8,SSP2,2020.0
0,60,0,30,4.249245520198609,0.8,SSP2,2069.0
0,-100,0,0,3.3295870128626355,0.2,SSP2,2012.0
0,0,100,80,3.3295870128626355,0.8,SSP2,2012.0
0,0,-40,-20,5.50827499765315,0.8,SSP2,2075.0
0,0,60,50,3.3295870128626355,0.2,SSP2,2012.0
0,0,100,90,3.3295870128626355,0.8,SSP2,2012.0
0,-20,-80,0,4.555227845137973,0.2,SSP2,2026.0
