,scenario,f,region,year,type,land,xi
293,SSP2,0.4,Europe,2025,projections,534189355.0822351,0.2539483679253448
294,SSP2,0.6,Europe,2025,projections,533078392.7141134,0.2558524741618136
295,SSP2,0.8,Europe,2025,projections,529229769.4188053,0.2599735506465251
296,SSP2,0.2,Oceania,2025,projections,83390092.69560131,0.16833572735696145
297,SSP2,0.4,Oceania,2025,projections,83466080.25303274,0.16939054097232722
298,SSP2,0.6,Oceania,2025,projections,83546957.65687375,0.17115224537064608
299,SSP2,0.8,Oceania,2025,projections,83781559.22617391,0.1750636685080654
300,SSP2,0.2,Africa,2026,projections,871104502.0968432,0.3481495533657328
301,SSP2,0.4,Africa,2026,projections,890345607.8799638,0.34880428633642635
302,SSP2,0.6,Africa,2026,projections,921937126.542492,0.3498786583754937
303,SSP2,0.8,Africa,2026,projections,982961515.3577573,0.3521749648915822
304,SSP2,0.2,Americas,2026,projections,880252043.9237244,0.23664510550097004
305,SSP2,0.4,Americas,2026,projections,886592597.8378688,0.23714723474386587
306,SSP2,0.6,Americas,2026,projections,898074610.4567989,0.23796875595786943
307,SSP2,0.8,Americas,2026,projections,924320118.1985382,0.23971451102994068
308,SSP2,0.2,Asia,2026,projections,1523215186.0205033,0.510229933333732
309,SSP2,0.4,Asia,2026,projections,1528616168.205253,0.5141917820582513
310,SSP2,0.6,Asia,2026,projections,1535473599.0266628,0.5206560500387061
311,SSP2,0.8,Asia,2026,projections,1547692548.6139889,0.5342733695476201
312,SSP2,0.2,Europe,2026,projections,540179907.268279,0.25413936673687254
313,SSP2,0.4,Europe,2026,projections,539669072.4865644,0.2555785851659372
314,SSP2,0.6,Europe,2026,projections,538014262.2125108,0.25794008239553173
315,SSP2,0.8,Europe,2026,projections,532917764.59070736,0.26298459968573
316,SSP2,0.2,Oceania,2026,projections,82146544.1431048,0.17281158422405107
317,SSP2,0.4,Oceania,2026,projections,82226782.99210663,0.17415624691020998
318,SSP2,0.6,Oceania,2026,projections,82315581.09403026,0.17639771426369966
319,SSP2,0.8,Oceania,2026,projections,82583076.51685235,0.18132175940419937
320,SSP2,0.2,Africa,2027,projections,880589756.3368849,0.3467810083447612
321,SSP2,0.4,Africa,2027,projections,902712198.8308876,0.3475502104964766
322,SSP2,0.6,Africa,2027,projections,938611805.4986879,0.3488151882624884
323,SSP2,0.8,Africa,2027,projections,1006178273.3084257,0.35147859674555665
324,SSP2,0.2,Americas,2027,projections,874902721.3561977,0.23624321838682968
325,SSP2,0.4,Americas,2027,projections,882162091.8628663,0.23684916893342334
326,SSP2,0.6,Americas,2027,projections,894987014.1070286,0.23784284929907326
327,SSP2,0.8,Americas,2027,projections,923860355.7571671,0.23992364818252027
328,SSP2,0.2,Asia,2027,projections,1508258086.162216,0.5147229805270056
329,SSP2,0.4,Asia,2027,projections,1513989275.0294497,0.519549401319923
330,SSP2,0.6,Asia,2027,projections,1523993153.1718912,0.5274209142359532
331,SSP2,0.8,Asia,2027,projections,1542360479.3321881,0.5436494345920406
332,SSP2,0.2,Europe,2027,projections,546055654.4216849,0.255651163475526
333,SSP2,0.4,Europe,2027,projections,545375245.620871,0.257409692010336
334,SSP2,0.6,Europe,2027,projections,543124491.6597079,0.26030314717370906
335,SSP2,0.8,Europe,2027,projections,536579321.9678724,0.26639794326218363
336,SSP2,0.2,Oceania,2027,projections,80897243.01276809,0.17747347061054777
337,SSP2,0.4,Oceania,2027,projections,80981728.3659014,0.17915402815509335
338,SSP2,0.6,Oceania,2027,projections,81078362.52883562,0.18196778761054447
339,SSP2,0.8,Oceania,2027,projections,81381215.503916,0.1880716288329262
340,SSP2,0.2,Africa,2028,projections,890312038.7287943,0.34545432731670556
341,SSP2,0.4,Africa,2028,projections,915502747.3505448,0.3463465876170818
342,SSP2,0.6,Africa,2028,projections,955898180.989776,0.34781241955328834
343,SSP2,0.8,Africa,2028,projections,1029968757.5259868,0.3508606800061839
344,SSP2,0.2,Americas,2028,projections,869635170.1524575,0.23588439209955928
345,SSP2,0.4,Americas,2028,projections,877798529.7003306,0.23660510312205119
346,SSP2,0.6,Americas,2028,projections,892040476.5424103,0.23778609610928686
347,SSP2,0.8,Americas,2028,projections,923482216.4905151,0.24023020820372334
348,SSP2,0.2,Asia,2028,projections,1491371121.3161988,0.5189467377218472
349,SSP2,0.4,Asia,2028,projections,1497004296.3184135,0.5247247725949872
350,SSP2,0.6,Asia,2028,projections,1506164293.1478515,0.5341070333186575
351,SSP2,0.8,Asia,2028,projections,1524264411.976277,0.5530542156242351
352,SSP2,0.2,Europe,2028,projections,552084008.1758243,0.25714894460204984
353,SSP2,0.4,Europe,2028,projections,551018284.2959323,0.25926514267897016
354,SSP2,0.6,Europe,2028,projections,548314263.6279097,0.26274616742349044
355,SSP2,0.8,Europe,2028,projections,540700437.8393123,0.26999749950512897
356,SSP2,0.2,Oceania,2028,projections,79655733.54529054,0.18214892395823515
357,SSP2,0.4,Oceania,2028,projections,79744160.51882526,0.18421218134992287
358,SSP2,0.6,Oceania,2028,projections,79849413.47586316,0.18766983302744686
359,SSP2,0.8,Oceania,2028,projections,80190304.25635663,0.19508743226153746
360,SSP2,0.2,Africa,2029,projections,898661515.5884542,0.3441689121040885
361,SSP2,0.4,Africa,2029,projections,926882467.2137483,0.34519040800874373
362,SSP2,0.6,Africa,2029,projections,971610749.0849026,0.3468648291896244
363,SSP2,0.8,Africa,2029,projections,1051616080.1406119,0.35030568444221727
